episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,6.3,8,0.0,0.974077,,,,,,0.0001,
2,36.16,51,0.01,0.974077,,,,,,0.0001,
3,51.43,39,0.01,0.974077,,,,,,0.0001,
4,15.78,22,0.02,0.974077,,,,,,0.0001,
5,26.77,34,0.05,0.974056,55.712021,,,,,0.0001,
6,27.73,34,0.06,0.974056,,,,,,0.0001,
7,5.58,8,0.06,0.974056,,,,,,0.0001,
8,11.21,12,0.06,0.974056,,,,,,0.0001,
9,13.73,38,0.06,0.974056,,,,,,0.0001,
10,34.09,29,0.08,0.974063,39.441776,,,,,0.0001,
11,8.31,17,0.08,0.974063,,,,,,0.0001,
12,8.37,10,0.08,0.974063,,,,,,0.0001,
13,7.98,27,0.09,0.974063,,,,,,0.0001,
14,10.19,18,0.09,0.974063,,,,,,0.0001,
15,10.22,12,0.1,0.97407,10.448298,,,,,0.0001,
16,14.08,28,0.1,0.97407,,,,,,0.0001,
17,11.88,24,0.1,0.97407,,,,,,0.0001,
18,30.24,41,0.11,0.97407,,,,,,0.0001,
19,7.2,14,0.11,0.97407,,,,,,0.0001,
20,34.01,38,0.13,0.974075,33.872116,,,,,0.0001,
21,15.01,35,0.13,0.974075,,,,,,0.0001,
22,20.3,32,0.14,0.974075,,,,,,0.0001,
23,48.59,44,0.14,0.974075,,,,,,0.0001,
24,4.61,23,0.15,0.974075,,,,,,0.0001,
25,42.14,46,0.17,0.974079,47.045399,,,,,0.0001,
26,12.18,22,0.17,0.974079,,,,,,0.0001,
27,41.77,42,0.17,0.974079,,,,,,0.0001,
28,11.72,22,0.18,0.974079,,,,,,0.0001,
29,24.44,23,0.18,0.974079,,,,,,0.0001,
30,8.9,25,0.19,0.974095,39.714485,,,,,0.0001,
31,21.94,42,0.2,0.974095,,,,,,0.0001,
32,8.31,27,0.2,0.974095,,,,,,0.0001,
33,6.5,21,0.21,0.974095,,,,,,0.0001,
34,8.41,12,0.21,0.974095,,,,,,0.0001,
35,9.87,40,0.22,0.974096,12.345875,,,,,0.0001,
36,9.85,12,0.23,0.974096,,,,,,0.0001,
37,25.18,28,0.23,0.974096,,,,,,0.0001,
38,12.59,14,0.23,0.974096,,,,,,0.0001,
39,8.68,20,0.23,0.974096,,,,,,0.0001,
40,20.85,30,0.25,0.974095,31.939196,,,,,0.0001,
41,8.3,18,0.25,0.974095,,,,,,0.0001,
42,22.8,26,0.25,0.974095,,,,,,0.0001,
43,34.82,30,0.26,0.974095,,,,,,0.0001,
44,25.22,26,0.26,0.974095,,,,,,0.0001,
45,12.29,22,0.27,0.974095,40.090836,,,,,0.0001,
46,6.51,8,0.27,0.974095,,,,,,0.0001,
47,16.48,29,0.28,0.974095,,,,,,0.0001,
48,33.88,47,0.28,0.974095,,,,,,0.0001,
49,42.96,40,0.29,0.974095,,,,,,0.0001,
50,23.98,27,0.3,0.974094,55.895721,,,,,0.0001,
51,13.55,43,0.37,0.974094,,,,,,0.0001,
52,27.71,25,0.37,0.974094,,,,,,0.0001,
53,31.16,27,0.37,0.974094,,,,,,0.0001,
54,11.89,26,0.38,0.974094,,,,,,0.0001,
55,7.59,25,0.39,0.974098,28.405363,,,,,0.0001,
56,10.02,17,0.39,0.974098,,,,,,0.0001,
57,25.18,25,0.4,0.974098,,,,,,0.0001,
58,51.15,38,0.4,0.974098,,,,,,0.0001,
59,7.93,11,0.4,0.974098,,,,,,0.0001,
60,7.6,10,0.41,0.974114,63.132294,,,,,0.0001,
61,14.06,34,0.42,0.974114,,,,,,0.0001,
62,42.16,32,0.42,0.974114,,,,,,0.0001,
63,8.43,14,0.42,0.974114,,,,,,0.0001,
64,5.97,10,0.43,0.974114,,,,,,0.0001,
65,8.31,10,0.44,0.974116,35.334698,,,,,0.0001,
66,10.9,19,0.44,0.974116,,,,,,0.0001,
67,16.94,26,0.44,0.974116,,,,,,0.0001,
68,42.39,33,0.45,0.974116,,,,,,0.0001,
69,10.84,21,0.45,0.974116,,,,,,0.0001,
70,8.62,14,0.46,0.974111,35.636738,,,,,0.0001,
71,26.22,30,0.46,0.974111,,,,,,0.0001,
72,10.8,38,0.47,0.974111,,,,,,0.0001,
73,20.81,20,0.47,0.974111,,,,,,0.0001,
74,35.97,30,0.48,0.974111,,,,,,0.0001,
75,11.49,16,0.49,0.97411,38.679691,,,,,0.0001,
76,23.2,54,0.5,0.97411,,,,,,0.0001,
77,11.28,15,0.5,0.97411,,,,,,0.0001,
78,11.38,19,0.5,0.97411,,,,,,0.0001,
79,48.25,33,0.5,0.97411,,,,,,0.0001,
80,18.07,35,0.52,0.974105,41.728119,,,,,0.0001,
81,85.58,57,0.53,0.974105,,,,,,0.0001,
82,19.01,26,0.53,0.974105,,,,,,0.0001,
83,18.39,17,0.53,0.974105,,,,,,0.0001,
84,8.12,10,0.54,0.974105,,,,,,0.0001,
85,11.38,25,0.55,0.974101,82.615349,,,,,0.0001,
86,10.33,23,0.55,0.974101,,,,,,0.0001,
87,11.8,16,0.56,0.974101,,,,,,0.0001,
88,62.0,45,0.56,0.974101,,,,,,0.0001,
89,12.73,19,0.56,0.974101,,,,,,0.0001,
90,93.38,74,0.59,0.974098,98.696495,,,,,0.0001,
91,15.65,36,0.59,0.974098,,,,,,0.0001,
92,83.04,55,0.6,0.974098,,,,,,0.0001,
93,13.57,25,0.6,0.974098,,,,,,0.0001,
94,7.25,34,0.61,0.974098,,,,,,0.0001,
95,58.81,40,0.63,0.974087,74.951843,,,,,0.0001,
96,152.41,112,0.64,0.974087,,,,,,0.0001,
97,17.97,25,0.65,0.974087,,,,,,0.0001,
98,23.97,37,0.65,0.974087,,,,,,0.0001,
99,12.47,16,0.65,0.974087,,,,,,0.0001,
100,26.59,31,0.67,0.97407,130.349991,,,,,0.0001,
101,69.81,56,0.76,0.97407,,,,,,0.0001,
102,22.21,33,0.77,0.97407,,,,,,0.0001,
103,32.25,30,0.77,0.97407,,,,,,0.0001,
104,6.94,14,0.78,0.97407,,,,,,0.0001,
105,84.91,56,0.8,0.974056,102.872696,,,,,0.0001,
106,29.7,45,0.81,0.974056,,,,,,0.0001,
107,13.86,29,0.81,0.974056,,,,,,0.0001,
108,35.12,43,0.81,0.974056,,,,,,0.0001,
109,59.72,61,0.82,0.974056,,,,,,0.0001,
110,31.94,36,0.84,0.974035,61.531288,,,,,0.0001,
111,33.2,27,0.85,0.974035,,,,,,0.0001,
112,29.49,32,0.85,0.974035,,,,,,0.0001,
113,17.23,31,0.86,0.974035,,,,,,0.0001,
114,18.88,28,0.86,0.974035,,,,,,0.0001,
115,170.56,100,0.89,0.974012,150.794296,,,,,0.0001,
116,61.54,46,0.9,0.974012,,,,,,0.0001,
117,27.83,30,0.9,0.974012,,,,,,0.0001,
118,19.73,32,0.91,0.974012,,,,,,0.0001,
119,54.6,57,0.91,0.974012,,,,,,0.0001,
120,11.96,19,0.93,0.973984,67.718773,,,,,0.0001,
121,20.03,35,0.93,0.973984,,,,,,0.0001,
122,29.6,42,0.94,0.973984,,,,,,0.0001,
123,10.74,32,0.94,0.973984,,,,,,0.0001,
124,9.97,27,0.95,0.973984,,,,,,0.0001,
125,22.72,36,0.97,0.97396,28.857201,,,,,0.0001,
126,72.15,88,0.98,0.97396,,,,,,0.0001,
127,12.02,28,0.98,0.97396,,,,,,0.0001,
128,8.68,10,0.98,0.97396,,,,,,0.0001,
129,5.9,9,0.98,0.97396,,,,,,0.0001,
130,13.9,15,1.0,0.973941,65.062759,,,,,0.0001,
131,25.71,24,1.0,0.973941,,,,,,0.0001,
132,8.03,14,1.0,0.973941,,,,,,0.0001,
133,51.44,43,1.01,0.973941,,,,,,0.0001,
134,9.47,11,1.01,0.973941,,,,,,0.0001,
135,34.71,32,1.02,0.973924,63.993881,,,,,0.0001,
136,9.72,38,1.03,0.973924,,,,,,0.0001,
137,31.76,38,1.04,0.973924,,,,,,0.0001,
138,24.17,21,1.04,0.973924,,,,,,0.0001,
139,9.45,15,1.04,0.973924,,,,,,0.0001,
140,57.15,44,1.06,0.973905,51.858757,,,,,0.0001,
141,48.35,68,1.07,0.973905,,,,,,0.0001,
142,60.88,50,1.07,0.973905,,,,,,0.0001,
143,42.9,36,1.08,0.973905,,,,,,0.0001,
144,49.59,38,1.08,0.973905,,,,,,0.0001,
145,10.97,12,1.1,0.973883,89.699959,,,,,0.0001,
146,89.94,56,1.11,0.973883,,,,,,0.0001,
147,107.67,94,1.12,0.973883,,,,,,0.0001,
148,15.1,26,1.13,0.973883,,,,,,0.0001,
149,86.92,52,1.13,0.973883,,,,,,0.0001,
150,41.45,45,1.16,0.973865,151.724136,,,,,0.0001,
151,13.4,43,1.48,0.973865,,,,,,0.0001,
152,88.18,63,1.49,0.973865,,,,,,0.0001,
153,12.57,26,1.5,0.973865,,,,,,0.0001,
154,30.65,35,1.5,0.973865,,,,,,0.0001,
155,26.29,27,1.52,0.973844,73.607491,,,,,0.0001,
156,17.25,46,1.53,0.973844,,,,,,0.0001,
157,57.0,69,1.54,0.973844,,,,,,0.0001,
158,24.79,32,1.54,0.973844,,,,,,0.0001,
159,151.33,142,1.56,0.973844,,,,,,0.0001,
160,75.7,45,1.59,0.973825,140.590332,,,,,0.0001,
161,91.75,79,1.6,0.973825,,,,,,0.0001,
162,11.93,40,1.61,0.973825,,,,,,0.0001,
163,26.93,28,1.61,0.973825,,,,,,0.0001,
164,9.09,19,1.61,0.973825,,,,,,0.0001,
165,140.66,96,1.65,0.973807,141.444565,,,,,0.0001,
166,43.83,39,1.65,0.973807,,,,,,0.0001,
167,43.51,33,1.66,0.973807,,,,,,0.0001,
168,117.97,63,1.66,0.973807,,,,,,0.0001,
169,41.3,45,1.67,0.973807,,,,,,0.0001,
170,28.61,35,1.69,0.973791,124.051414,,,,,0.0001,
171,13.24,39,1.7,0.973791,,,,,,0.0001,
172,32.51,29,1.7,0.973791,,,,,,0.0001,
173,32.62,50,1.71,0.973791,,,,,,0.0001,
174,31.82,26,1.71,0.973791,,,,,,0.0001,
175,47.65,43,1.73,0.973781,55.929817,,,,,0.0001,
176,69.1,96,1.74,0.973781,,,,,,0.0001,
177,48.24,35,1.75,0.973781,,,,,,0.0001,
178,71.05,73,1.76,0.973781,,,,,,0.0001,
179,27.3,29,1.76,0.973781,,,,,,0.0001,
180,29.77,29,1.79,0.973772,102.115173,,,,,0.0001,
181,32.22,56,1.79,0.973772,,,,,,0.0001,
182,23.25,27,1.8,0.973772,,,,,,0.0001,
183,30.26,41,1.8,0.973772,,,,,,0.0001,
184,5.96,29,1.81,0.973772,,,,,,0.0001,
185,15.11,15,1.82,0.973761,39.788326,,,,,0.0001,
186,28.05,36,1.83,0.973761,,,,,,0.0001,
187,25.46,46,1.83,0.973761,,,,,,0.0001,
188,74.47,64,1.84,0.973761,,,,,,0.0001,
189,82.12,64,1.85,0.973761,,,,,,0.0001,
190,37.56,35,1.88,0.973754,105.449074,,,,,0.0001,
191,63.67,90,1.89,0.973754,,,,,,0.0001,
192,42.79,33,1.9,0.973754,,,,,,0.0001,
193,21.78,31,1.9,0.973754,,,,,,0.0001,
194,20.55,20,1.9,0.973754,,,,,,0.0001,
195,67.0,93,1.94,0.97374,65.559654,,,,,0.0001,
196,41.88,51,1.94,0.97374,,,,,,0.0001,
197,22.0,25,1.95,0.97374,,,,,,0.0001,
198,22.58,24,1.95,0.97374,,,,,,0.0001,
199,22.26,31,1.96,0.97374,,,,,,0.0001,
200,38.82,31,1.97,0.973731,61.431183,,,,,0.0001,
201,38.92,39,2.1,0.973731,,,,,,0.0001,
202,19.38,18,2.11,0.973731,,,,,,0.0001,
203,111.99,64,2.11,0.973731,,,,,,0.0001,
204,32.06,29,2.12,0.973731,,,,,,0.0001,
205,125.88,82,2.15,0.973719,161.153961,,,,,0.0001,
206,45.35,47,2.15,0.973719,,,,,,0.0001,
207,249.53,119,2.17,0.973719,,,,,,0.0001,
208,40.12,45,2.18,0.973719,,,,,,0.0001,
209,112.6,81,2.19,0.973719,,,,,,0.0001,
210,29.22,41,2.22,0.9737,213.545486,,,,,0.0001,
211,23.48,31,2.22,0.9737,,,,,,0.0001,
212,36.66,29,2.23,0.9737,,,,,,0.0001,
213,15.96,19,2.23,0.9737,,,,,,0.0001,
214,23.61,26,2.23,0.9737,,,,,,0.0001,
215,41.31,39,2.25,0.973687,59.228012,,,,,0.0001,
216,19.46,29,2.25,0.973687,,,,,,0.0001,
217,86.73,51,2.26,0.973687,,,,,,0.0001,
218,25.73,22,2.26,0.973687,,,,,,0.0001,
219,56.54,42,2.27,0.973687,,,,,,0.0001,
220,17.03,19,2.28,0.973671,101.045235,,,,,0.0001,
221,8.24,31,2.29,0.973671,,,,,,0.0001,
222,35.26,27,2.29,0.973671,,,,,,0.0001,
223,28.66,45,2.3,0.973671,,,,,,0.0001,
224,14.08,43,2.3,0.973671,,,,,,0.0001,
225,26.57,39,2.32,0.973651,36.434353,,,,,0.0001,
226,75.65,59,2.33,0.973651,,,,,,0.0001,
227,91.98,78,2.34,0.973651,,,,,,0.0001,
228,62.71,98,2.35,0.973651,,,,,,0.0001,
229,155.68,82,2.37,0.973651,,,,,,0.0001,
230,36.9,51,2.4,0.973634,152.980591,,,,,0.0001,
231,31.7,57,2.41,0.973634,,,,,,0.0001,
232,114.68,62,2.42,0.973634,,,,,,0.0001,
233,53.73,36,2.42,0.973634,,,,,,0.0001,
234,37.33,43,2.43,0.973634,,,,,,0.0001,
235,24.7,31,2.45,0.973617,110.803726,,,,,0.0001,
236,130.13,70,2.46,0.973617,,,,,,0.0001,
237,121.67,86,2.47,0.973617,,,,,,0.0001,
238,38.69,66,2.48,0.973617,,,,,,0.0001,
239,32.94,31,2.48,0.973617,,,,,,0.0001,
240,28.61,58,2.52,0.973597,139.548538,,,,,0.0001,
241,8.44,37,2.52,0.973597,,,,,,0.0001,
242,19.47,51,2.53,0.973597,,,,,,0.0001,
243,66.14,81,2.54,0.973597,,,,,,0.0001,
244,40.11,30,2.54,0.973597,,,,,,0.0001,
245,11.75,18,2.56,0.973572,56.890495,,,,,0.0001,
246,52.55,73,2.57,0.973572,,,,,,0.0001,
247,21.9,25,2.58,0.973572,,,,,,0.0001,
248,53.69,34,2.58,0.973572,,,,,,0.0001,
249,127.27,71,2.59,0.973572,,,,,,0.0001,
250,12.25,12,2.61,0.973553,135.821579,,,,,0.0001,
251,34.83,54,2.71,0.973553,,,,,,0.0001,
252,28.74,27,2.71,0.973553,,,,,,0.0001,
253,12.97,42,2.72,0.973553,,,,,,0.0001,
254,27.72,26,2.72,0.973553,,,,,,0.0001,
255,20.97,21,2.74,0.973536,43.216927,,,,,0.0001,
256,115.35,63,2.74,0.973536,,,,,,0.0001,
257,41.74,50,2.75,0.973536,,,,,,0.0001,
258,87.46,56,2.76,0.973536,,,,,,0.0001,
259,104.95,77,2.77,0.973536,,,,,,0.0001,
260,104.24,74,2.8,0.973519,177.816254,,,,,0.0001,
261,78.69,60,2.81,0.973519,,,,,,0.0001,
262,124.55,72,2.82,0.973519,,,,,,0.0001,
263,136.8,73,2.83,0.973519,,,,,,0.0001,
264,46.94,35,2.83,0.973519,,,,,,0.0001,
265,212.97,150,2.89,0.973502,242.273178,,,,,0.0001,
266,34.07,40,2.89,0.973502,,,,,,0.0001,
267,43.68,30,2.9,0.973502,,,,,,0.0001,
268,77.68,60,2.9,0.973502,,,,,,0.0001,
269,49.16,101,2.92,0.973502,,,,,,0.0001,
270,33.38,55,2.95,0.973484,78.413597,,,,,0.0001,
271,126.55,87,2.96,0.973484,,,,,,0.0001,
272,34.27,28,2.96,0.973484,,,,,,0.0001,
273,17.54,24,2.97,0.973484,,,,,,0.0001,
274,157.42,101,2.98,0.973484,,,,,,0.0001,
275,39.25,40,3.01,0.973468,180.080505,,,,,0.0001,
276,58.65,43,3.01,0.973468,,,,,,0.0001,
277,158.64,106,3.03,0.973468,,,,,,0.0001,
278,19.25,29,3.03,0.973468,,,,,,0.0001,
279,62.01,51,3.04,0.973468,,,,,,0.0001,
280,72.29,62,3.07,0.973452,162.096542,,,,,0.0001,
281,8.47,38,3.07,0.973452,,,,,,0.0001,
282,104.97,64,3.08,0.973452,,,,,,0.0001,
283,109.64,76,3.09,0.973452,,,,,,0.0001,
284,21.78,21,3.1,0.973452,,,,,,0.0001,
285,100.71,71,3.13,0.973439,150.519073,,,,,0.0001,
286,76.24,94,3.14,0.973439,,,,,,0.0001,
287,41.97,30,3.14,0.973439,,,,,,0.0001,
288,17.35,24,3.15,0.973439,,,,,,0.0001,
289,57.9,81,3.16,0.973439,,,,,,0.0001,
290,82.64,54,3.19,0.973429,109.626846,,,,,0.0001,
291,30.81,27,3.19,0.973429,,,,,,0.0001,
292,33.08,46,3.2,0.973429,,,,,,0.0001,
293,12.86,24,3.2,0.973429,,,,,,0.0001,
294,26.06,24,3.2,0.973429,,,,,,0.0001,
295,163.85,117,3.24,0.973427,167.304291,,,,,0.0001,
296,24.48,26,3.24,0.973427,,,,,,0.0001,
297,21.76,50,3.25,0.973427,,,,,,0.0001,
298,183.34,120,3.26,0.973427,,,,,,0.0001,
299,21.13,34,3.27,0.973427,,,,,,0.0001,
300,34.7,34,3.29,0.973421,160.478271,,,,,0.0001,
301,27.45,24,3.37,0.973421,,,,,,0.0001,
302,21.86,27,3.38,0.973421,,,,,,0.0001,
303,78.87,58,3.38,0.973421,,,,,,0.0001,
304,138.21,88,3.39,0.973421,,,,,,0.0001,
305,32.4,31,3.42,0.973415,146.830139,,,,,0.0001,
306,16.81,17,3.42,0.973415,,,,,,0.0001,
307,91.06,51,3.43,0.973415,,,,,,0.0001,
308,131.44,77,3.44,0.973415,,,,,,0.0001,
309,51.24,31,3.44,0.973415,,,,,,0.0001,
310,169.32,105,3.48,0.973411,221.990524,,,,,0.0001,
311,49.79,67,3.49,0.973411,,,,,,0.0001,
312,87.12,71,3.5,0.973411,,,,,,0.0001,
313,42.79,47,3.5,0.973411,,,,,,0.0001,
314,127.43,84,3.51,0.973411,,,,,,0.0001,
315,76.58,48,3.54,0.973409,152.08638,,,,,0.0001,
316,19.28,19,3.55,0.973409,,,,,,0.0001,
317,23.18,28,3.55,0.973409,,,,,,0.0001,
318,105.53,83,3.56,0.973409,,,,,,0.0001,
319,129.74,85,3.57,0.973409,,,,,,0.0001,
320,76.87,54,3.6,0.973405,170.148926,,,,,0.0001,
321,314.82,259,3.64,0.973405,,,,,,0.0001,
322,28.17,24,3.64,0.973405,,,,,,0.0001,
323,147.76,82,3.65,0.973405,,,,,,0.0001,
324,34.06,70,3.66,0.973405,,,,,,0.0001,
325,19.09,22,3.7,0.9734,252.064392,,,,,0.0001,
326,64.97,54,3.71,0.9734,,,,,,0.0001,
327,203.52,174,3.73,0.9734,,,,,,0.0001,
328,13.44,16,3.73,0.9734,,,,,,0.0001,
329,40.65,43,3.74,0.9734,,,,,,0.0001,
330,23.97,30,3.77,0.9734,192.093262,,,,,0.0001,
331,82.26,55,3.78,0.9734,,,,,,0.0001,
332,85.19,111,3.79,0.9734,,,,,,0.0001,
333,25.49,23,3.79,0.9734,,,,,,0.0001,
334,124.11,73,3.8,0.9734,,,,,,0.0001,
335,92.38,52,3.83,0.973399,163.2948,,,,,0.0001,
336,50.33,38,3.84,0.973399,,,,,,0.0001,
337,37.96,31,3.84,0.973399,,,,,,0.0001,
338,35.68,54,3.85,0.973399,,,,,,0.0001,
339,31.37,32,3.86,0.973399,,,,,,0.0001,
340,10.4,39,3.88,0.973401,64.376694,,,,,0.0001,
341,209.2,141,3.89,0.973401,,,,,,0.0001,
342,89.19,54,3.9,0.973401,,,,,,0.0001,
343,260.19,224,3.93,0.973401,,,,,,0.0001,
344,93.84,52,3.94,0.973401,,,,,,0.0001,
