episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,61.57,42,0.01,0.974077,,,,,,0.0001,
2,3.64,10,0.01,0.974077,,,,,,0.0001,
3,8.48,14,0.01,0.974077,,,,,,0.0001,
4,12.98,16,0.01,0.974077,,,,,,0.0001,
5,60.14,36,0.04,0.974139,0.104374,,21.398649,,,0.0001,
6,6.77,10,0.04,0.974139,,,,,,0.0001,
7,4.58,10,0.04,0.974139,,,,,,0.0001,
8,3.64,8,0.05,0.974139,,,,,,0.0001,
9,4.8,9,0.05,0.974139,,,,,,0.0001,
10,4.6,10,0.05,0.974133,0.214768,,1.712854,,,0.0001,
11,70.59,41,0.06,0.974133,,,,,,0.0001,
12,9.1,16,0.06,0.974133,,,,,,0.0001,
13,13.23,14,0.06,0.974133,,,,,,0.0001,
14,6.64,9,0.06,0.974133,,,,,,0.0001,
15,4.66,9,0.07,0.974127,-0.067059,,18.497782,,,0.0001,
16,82.48,48,0.08,0.974127,,,,,,0.0001,
17,5.99,11,0.08,0.974127,,,,,,0.0001,
18,9.61,15,0.08,0.974127,,,,,,0.0001,
19,11.0,19,0.08,0.974127,,,,,,0.0001,
20,4.82,7,0.09,0.974113,-0.130256,,20.279377,,,0.0001,
21,9.88,12,0.09,0.974113,,,,,,0.0001,
22,10.48,14,0.1,0.974113,,,,,,0.0001,
23,6.97,10,0.1,0.974113,,,,,,0.0001,
24,7.8,13,0.1,0.974113,,,,,,0.0001,
25,32.22,33,0.11,0.974095,-0.226251,,8.175485,,,0.0001,
26,53.21,35,0.11,0.974095,,,,,,0.0001,
27,3.88,9,0.12,0.974095,,,,,,0.0001,
28,20.72,20,0.12,0.974095,,,,,,0.0001,
29,7.21,10,0.12,0.974095,,,,,,0.0001,
30,4.89,10,0.13,0.97408,0.062274,,14.240934,,,0.0001,
31,6.18,11,0.13,0.97408,,,,,,0.0001,
32,47.66,34,0.13,0.97408,,,,,,0.0001,
33,37.86,27,0.14,0.97408,,,,,,0.0001,
34,4.43,9,0.14,0.97408,,,,,,0.0001,
